                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6932,                 3.4398,                 1.3236,                 0.4721,                0.22134,                0.21151,                0.14897,                 1.0592,                 3.7024,                 1.0549,             0.00010584,             0.00010584,             0.00010584
                      2,                 1.2351,                 1.2605,                 1.0803,                0.84942,                 0.9157,                0.94606,                0.69651,                0.97785,                 1.0116,                  1.016,             0.00020451,             0.00020451,             0.00020451
                      3,                 1.1671,                0.87945,                 1.0603,                0.87222,                0.88328,                0.93919,                0.69427,                0.97103,                0.78713,                 1.0051,             0.00028977,             0.00028977,             0.00028977
                      4,                 1.0981,                0.75609,                 1.0351,                0.88765,                0.94092,                0.96006,                 0.7051,                0.98586,                  0.753,                0.99178,             0.00036162,             0.00036162,             0.00036162
                      5,                 1.0768,                0.71879,                 1.0394,                0.95363,                 0.9707,                0.97142,                0.72991,                0.94552,                0.61806,                0.99181,             0.00042007,             0.00042007,             0.00042007
                      6,                 1.0397,                0.62596,                 1.0537,                0.96607,                 0.9806,                0.98356,                0.74454,                0.90232,                0.54275,                0.97185,              0.0004116,              0.0004116,              0.0004116
                      7,                  1.016,                0.58314,                 1.0477,                0.97352,                0.98856,                0.98682,                0.69159,                 1.1083,                0.59332,                  1.018,             0.00037632,             0.00037632,             0.00037632
                      8,                0.99025,                0.56718,                 1.0232,                0.98052,                0.97821,                0.98743,                 0.7746,                0.86913,                 0.4895,                0.95693,             0.00034104,             0.00034104,             0.00034104
                      9,                0.96941,                0.52028,                 1.0144,                0.97404,                0.98716,                0.98917,                0.71315,                 1.0857,                0.52496,                 1.0078,             0.00030576,             0.00030576,             0.00030576
                     10,                 0.9577,                0.50596,                 1.0105,                0.97184,                0.98833,                0.98925,                0.77178,                0.86085,                0.44747,                0.94638,             0.00027048,             0.00027048,             0.00027048
                     11,                0.91029,                0.48475,                 1.0024,                0.97013,                0.98375,                0.98898,                 0.7741,                 0.8596,                0.45217,                0.94714,              0.0002352,              0.0002352,              0.0002352
                     12,                0.90166,                0.47231,                0.98599,                0.97076,                0.99148,                0.99065,                0.77031,                0.87626,                0.42373,                0.94197,             0.00019992,             0.00019992,             0.00019992
                     13,                0.88705,                0.44949,                0.98347,                0.97802,                 0.9869,                0.98955,                0.78099,                 0.8583,                0.42441,                0.94288,             0.00016464,             0.00016464,             0.00016464
                     14,                0.86714,                0.43756,                0.98742,                0.97748,                 0.9869,                0.98748,                0.77471,                0.86993,                0.41202,                0.94406,             0.00012936,             0.00012936,             0.00012936
                     15,                0.83491,                0.42074,                0.97109,                0.97937,                0.98882,                0.99137,                0.78063,                0.85401,                0.40385,                0.93982,              9.408e-05,              9.408e-05,              9.408e-05
